,Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index,Train Set
0,Average,4851,0.6651066123585878,0.7549653116182867,0.028086816262592813,0.7533001307354203,RF,RDKit,1,Acetyl-Non-Natural
0,Average,4851,0.6597470738902209,0.7592278301436783,0.026194317594822443,0.7575967135002436,RF,RDKit,2,Acetyl-Non-Natural
0,Average,4851,0.6653344296613216,0.7537244703444873,0.026651032984656854,0.7522061146007714,RF,RDKit,3,Acetyl-Non-Natural
0,Average,4851,0.6666734202111904,0.7520386736676108,0.006056414408789327,0.7512697306194868,XGBR,RDKit,1,Acetyl-Non-Natural
0,Average,4851,0.6601256044515621,0.7599579513206667,0.01538494002873501,0.7588656222876566,XGBR,RDKit,2,Acetyl-Non-Natural
0,Average,4851,0.6689915062645739,0.7494698421138318,0.007573518057192976,0.7490796582924226,XGBR,RDKit,3,Acetyl-Non-Natural
0,Average,4851,0.5760414344089153,0.8483928051288434,-0.05168713771888236,0.8460292883152759,SVR,RDKit,1,Acetyl-Non-Natural
0,Average,4851,0.5753495040054905,0.8499414154348864,-0.05613186017197421,0.8468645482401449,SVR,RDKit,2,Acetyl-Non-Natural
0,Average,4851,0.5728029772630201,0.8511057777975841,-0.05189147562331857,0.8478812226018482,SVR,RDKit,3,Acetyl-Non-Natural
0,Average,4851,0.6982382736028953,0.7150768261435139,0.02748656810929658,0.7140663279066846,RF,Morgan,1,Acetyl-Non-Natural
0,Average,4851,0.7080665772344223,0.7030096783045336,0.026330690851113354,0.7016856589818448,RF,Morgan,2,Acetyl-Non-Natural
0,Average,4851,0.7017302714558177,0.7106308969108986,0.027577268782010684,0.7096294840775712,RF,Morgan,3,Acetyl-Non-Natural
0,Average,4851,0.6991892871085204,0.7151312907318946,0.00901216971293083,0.7138910067349855,XGBR,Morgan,1,Acetyl-Non-Natural
0,Average,4851,0.6948064126326962,0.7202495445065279,0.013303584826994615,0.7193169443795139,XGBR,Morgan,2,Acetyl-Non-Natural
0,Average,4851,0.6968818863052373,0.717452234403728,0.007868980920634741,0.7167615457909793,XGBR,Morgan,3,Acetyl-Non-Natural
0,Average,4851,0.6588833584408592,0.7611270895188953,-0.021600593037853513,0.7598219564022298,SVR,Morgan,1,Acetyl-Non-Natural
0,Average,4851,0.6575841461711718,0.7623507324264907,-0.024125564000334446,0.7608444330544799,SVR,Morgan,2,Acetyl-Non-Natural
0,Average,4851,0.6608624255202098,0.7588565238171768,-0.022325447374418463,0.7578105233707911,SVR,Morgan,3,Acetyl-Non-Natural
0,Average,4851,0.7048752436364515,0.7069660361474298,0.023444135146076635,0.7058049430788165,RF,Both,1,Acetyl-Non-Natural
0,Average,4851,0.7051544510083306,0.706711564840829,0.02006388233845291,0.7052452068999285,RF,Both,2,Acetyl-Non-Natural
0,Average,4851,0.709194673385551,0.7021893171621932,0.020092705200911824,0.7008608352161738,RF,Both,3,Acetyl-Non-Natural
0,Average,4851,0.7082641863786572,0.7017545717640177,0.009902857199151786,0.701332047924587,XGBR,Both,1,Acetyl-Non-Natural
0,Average,4851,0.7114172034050421,0.7001882307239946,0.007988418554345131,0.6996156680002523,XGBR,Both,2,Acetyl-Non-Natural
0,Average,4851,0.7169223133829133,0.6918479577061702,0.014368926920621158,0.6913472638496327,XGBR,Both,3,Acetyl-Non-Natural
0,Average,4851,0.6738134394162965,0.7436119028845266,-0.024889837262944504,0.7418957679065357,SVR,Both,1,Acetyl-Non-Natural
0,Average,4851,0.6763080994043207,0.7411839296543741,-0.02745091223604814,0.7385633201776585,SVR,Both,2,Acetyl-Non-Natural
0,Average,4851,0.6696091522828969,0.7487432699788737,-0.02748977888491171,0.7472617780794945,SVR,Both,3,Acetyl-Non-Natural
0,Average,225,0.29428099564394594,0.8542882023001056,0.02434305901405335,0.8437205472149666,RF,RDKit,1,Acetyl-Natural
0,Average,225,0.19491687012088005,0.8783325406771416,0.009538937527448171,0.842988629399442,RF,RDKit,2,Acetyl-Natural
0,Average,225,0.313429377683726,0.8691910546690564,0.0346764806371163,0.8535044847696952,RF,RDKit,3,Acetyl-Natural
0,Average,225,0.22199183562390568,0.8787612783539602,0.023559108122221256,0.8650992720364263,XGBR,RDKit,1,Acetyl-Natural
0,Average,225,0.19466765651041035,0.8947445772318192,-0.0027741344788642986,0.8772979700181539,XGBR,RDKit,2,Acetyl-Natural
0,Average,225,0.2406354590480543,0.8791504554809814,-0.005395910627443014,0.8591194483414059,XGBR,RDKit,3,Acetyl-Natural
0,Average,225,0.22015274624113101,0.9142987237924609,-0.13748158728246967,0.881148837827182,SVR,RDKit,1,Acetyl-Natural
0,Average,225,0.20630430558148888,0.9165662480340527,-0.1374358401528855,0.8809435690211987,SVR,RDKit,2,Acetyl-Natural
0,Average,225,0.0922172077386034,0.9090918728151817,-0.1304928871718482,0.8665267759559969,SVR,RDKit,3,Acetyl-Natural
0,Average,225,0.25016366080082786,0.896719976881039,0.001903412566517572,0.8767851540504734,RF,Morgan,1,Acetyl-Natural
0,Average,225,0.2347688367390734,0.8918715473203953,0.005396054136081274,0.8704451239357642,RF,Morgan,2,Acetyl-Natural
0,Average,225,0.25265563960742543,0.8871315317108819,-0.004770744306418254,0.8743519724131721,RF,Morgan,3,Acetyl-Natural
0,Average,225,0.07454086359060512,0.9896536992261815,0.05890207049843508,0.9818027191033053,XGBR,Morgan,1,Acetyl-Natural
0,Average,225,-0.003026389904738114,0.9765040666102023,0.04978179302014538,0.9612292983797281,XGBR,Morgan,2,Acetyl-Natural
