Fold,Number of Molecules,r2,rmsd,bias,sdep
1.0,479.0,0.6043399786617379,0.779694016441535,0.04128165150611395,0.7786004010554196
2.0,479.0,0.6747553554161595,0.7289589328768107,0.02852072223879105,0.7284007785717119
3.0,479.0,0.6442226080040195,0.80684184841869,0.03853399867298094,0.8059211495586642
4.0,479.0,0.6451253435203508,0.7526459476139784,-0.0029064938679972964,0.7526403355874167
5.0,479.0,0.6630443226278859,0.7675354381714742,0.04357182854491812,0.7662976866768745
6.0,479.0,0.6910717963298649,0.75676535764735,-0.03649540212744825,0.7558848405403282
7.0,479.0,0.6712990343895694,0.7286899970946216,-0.04180813127547496,0.727489650802685
8.0,479.0,0.6999281664590832,0.7492784421545398,-0.0008668649136759835,0.7492779407020839
9.0,479.0,0.6697565826115257,0.7591031466324762,0.08633119743513257,0.754178037055404
10.0,479.0,0.6190986182953904,0.7766302736509149,0.10473159658017688,0.7695361425097991
Average,4790.0,0.6582641806315587,0.7606143400702392,0.0260894102793517,0.7588226963060386
