Fold,Number of Molecules,r2,rmsd,bias,sdep
1.0,7.0,-1.0802810446504556,1.4361321447195778,-0.05243753160749165,1.4351744989288824
2.0,7.0,-0.5225051170175428,1.7735404865143176,-0.6987705503191268,1.6300814627840372
3.0,7.0,-7.653371483994345,1.0932310924650137,0.9075257982526506,0.6095499545058931
4.0,7.0,-0.3668188631648355,1.0871147755974753,-0.4321720640999929,0.9975198455839868
5.0,7.0,0.35786623642092885,1.165977974327351,-0.3481079292297363,1.1128007486625349
6.0,7.0,-2.5908925975224792,2.2485010399696184,0.45499596459524977,2.201984468370859
7.0,6.0,0.26520157658246557,0.7433439647855218,0.16517786661783843,0.7247596307484562
8.0,6.0,-0.17695137487726043,1.2545143686894837,-0.12164779663085934,1.2486024646873124
9.0,6.0,-9.31996058762451,1.1264530559960366,0.5669041919708251,0.9734043992548606
10.0,6.0,-0.005074472759437398,1.2859515406963773,0.3911468283335367,1.2250206217464266
Average,66.0,-2.1092787728607476,1.3214760443760771,0.08326147778828934,1.2158898095273247
