Fold,Number of Molecules,r2,rmsd,bias,sdep
1.0,479.0,0.6430071878130309,0.7594745190126809,0.049953527935182374,0.7578299216027115
2.0,479.0,0.7460666278458429,0.705182077345333,0.018384882112204407,0.7049423794316807
3.0,479.0,0.6638208619491076,0.7353552282927013,0.02137325976737241,0.735044553441713
4.0,479.0,0.6394288148450256,0.7856585050712929,0.02171028581369918,0.7853584850759214
5.0,479.0,0.6376663517967647,0.7704096666454666,0.023319473560538023,0.7700566580542229
6.0,479.0,0.6699381498189909,0.7152894171409092,0.026087496769062093,0.7148135370753033
7.0,479.0,0.6251083428646405,0.7728464978640044,0.07420871110448357,0.7692754880124986
8.0,479.0,0.6486821965768638,0.8042840346720834,-0.003575856612652295,0.804276085481777
9.0,479.0,0.7118135300069697,0.7182747837090707,0.0265560708486596,0.7177837000192977
10.0,479.0,0.6302046650166617,0.8021175222594688,0.02039393428770288,0.8018582212336154
Average,4790.0,0.6615736728533899,0.7568892252013012,0.027841178558625217,0.7561239029428741
