pIC50
4.82
5.54
4.59
4.67
4.61
5.18
5.98
4.81
8.0
7.75
5.17
5.14
6.92
4.17
5.23
6.18
9.0
5.19
4.94
5.05
6.89
4.95
4.13
4.07
8.31
7.72
7.92
5.23
6.05
4.62
5.72
5.91
6.23
4.16
5.34
6.27
6.03
5.74
5.71
4.12
4.35
5.19
4.86
6.74
7.52
5.25
5.75
