Fold,Number of Molecules,r2,rmsd,bias,sdep,Model,Descriptor,Index,File
Average,5076,0.5010216297396544,0.9191433188822634,-0.029247284170960015,0.9149560830061002,XGBR,Morgan,1,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.5010216297396544,0.9191433188822634,-0.029247284170960015,0.9149560830061002,XGBR,Morgan,2,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.5010216297396544,0.9191433188822634,-0.029247284170960015,0.9149560830061002,XGBR,Morgan,3,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.5239367537897168,0.8966430242384387,-0.05366605197769149,0.8899241202379111,SVR,Morgan,1,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.5239367537897168,0.8966430242384387,-0.05366605197769149,0.8899241202379111,SVR,Morgan,2,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.5239367537897168,0.8966430242384387,-0.05366605197769149,0.8899241202379111,SVR,Morgan,3,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.5272115591123844,0.8939784742507169,-0.019229073418507023,0.8884888008272196,RF,Both,1,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.5216533852168117,0.898834108618211,-0.019780851265756513,0.8927855157851505,RF,Both,2,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.5262072723286725,0.8946980763217232,-0.017681880304385958,0.8881343206550353,RF,Both,3,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.4975280211184135,0.9203552881739434,-0.038274038968450864,0.9143869793215929,XGBR,Both,1,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.4975280211184135,0.9203552881739434,-0.038274038968450864,0.9143869793215929,XGBR,Both,2,Acetylcholinesterase_CHEMBL220.csv
Average,5076,0.4975280211184135,0.9203552881739434,-0.038274038968450864,0.9143869793215929,XGBR,Both,3,Acetylcholinesterase_CHEMBL220.csv
Average,5076,-0.027806062802911934,1.3190558344805727,-0.1841319612169986,1.3023973291271254,SVR,Both,1,Acetylcholinesterase_CHEMBL220.csv
Average,5076,-0.027806062802911934,1.3190558344805727,-0.1841319612169986,1.3023973291271254,SVR,Both,2,Acetylcholinesterase_CHEMBL220.csv
Average,5076,-0.027806062802911934,1.3190558344805727,-0.1841319612169986,1.3023973291271254,SVR,Both,3,Acetylcholinesterase_CHEMBL220.csv
Average,2377,0.31281308754477455,0.8547191119766101,0.01757747451372963,0.8473889002921522,RF,RDKit,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.31751287734280115,0.8514441959522581,0.019123143301377123,0.8434894685459561,RF,RDKit,2,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.3043114640156304,0.8593786103338379,0.02376421592704774,0.8515302874069202,RF,RDKit,3,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.2715726317473724,0.8792762313589362,-0.005127351903494402,0.8716591469952487,XGBR,RDKit,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.2715726317473724,0.8792762313589362,-0.005127351903494402,0.8716591469952487,XGBR,RDKit,2,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.2715726317473724,0.8792762313589362,-0.005127351903494402,0.8716591469952487,XGBR,RDKit,3,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,-0.05582850624011863,1.0697167766239875,-0.23522249990310012,1.039956206838728,SVR,RDKit,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,-0.05582850624011863,1.0697167766239875,-0.23522249990310012,1.039956206838728,SVR,RDKit,2,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,-0.05582850624011863,1.0697167766239875,-0.23522249990310012,1.039956206838728,SVR,RDKit,3,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.3291985775862841,0.8420213173887824,-0.050168787096018165,0.8344495732677888,RF,Morgan,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.34281611341253904,0.8340447585363016,-0.042826718502332474,0.8262568861907484,RF,Morgan,2,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.34117450334743465,0.8357708413515288,-0.04654128789009071,0.8277690689246177,RF,Morgan,3,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.2552612423404278,0.8841381811599852,-0.027379037196520455,0.8746582805450187,XGBR,Morgan,1,Monoamine_oxidase_A_CHEMBL1951.csv
Average,2377,0.2552612423404278,0.8841381811599852,-0.027379037196520455,0.8746582805450187,XGBR,Morgan,2,Monoamine_oxidase_A_CHEMBL1951.csv
