ChEMBL_ID,pIC50,SMILES,natural_product
CHEMBL1080813,6.3,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cccs1,False
CHEMBL1080814,6.75,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)c1cc(Br)cs1,False
CHEMBL1081031,7.66,CN1c2ccc(OC(=O)NC3CCCCC3)cc2[C@]2(C)CCN(CCc3ccccc3)[C@H]12,False
CHEMBL108163,6.19,CN(C)Cc1ccc(CSCCNc2cc(Nc3ccccc3)c([N+](=O)[O-])cc2[N+](=O)[O-])o1,False
CHEMBL1081810,6.7,[Br-].[Br-].c1cc[n+](Cc2ccc3ccc(C[n+]4ccccc4)cc3c2)cc1,False
CHEMBL1082081,6.02,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OC(C)(C)C,False
CHEMBL1082082,6.6,CCCCCCOC(=O)[C@H](CCC(=O)NCCC1CCN(Cc2ccccc2)CC1)NC(=O)OCc1ccccc1,False
CHEMBL1082419,6.8,CCCCCCNC(=O)Oc1cccc(CN(CC)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,False
CHEMBL1082427,4.61,CC(=O)N(C)c1cccc2n1cc(-c1ccc(OC(=O)N(C)C)cc1)[n+]2C.[Cl-],False
CHEMBL1082428,5.4,CNC(=O)Oc1ccc(-c2cn3c(C)cccc3[n+]2C)cc1.[I-],False
CHEMBL1082433,6.52,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccccc1,False
CHEMBL1082434,7.52,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,False
CHEMBL1082435,8.37,CCn1c(C)nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc21,False
CHEMBL1082436,7.48,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2[nH]c(-c3ccccc3)nc2c1,False
CHEMBL1082738,8.06,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,False
CHEMBL1082739,7.42,c1ccc2c(NCCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,False
CHEMBL1082746,5.96,CNC(=O)Oc1ccc(-c2cn3c(NC(C)=O)cccc3[n+]2C)cc1.[I-],False
CHEMBL1082747,5.15,CN(C)C(=O)Oc1cccc(-c2cn3ccccc3[n+]2C)c1.[Cl-],False
CHEMBL1082748,4.62,Cc1cccc2n1cc(-c1cccc(OC(=O)N(C)C)c1)[n+]2C.[Cl-],False
CHEMBL1082749,4.47,CN(C)C(=O)Oc1cccc(-c2cn3c(C(F)(F)F)cccc3[n+]2C)c1.[Cl-],False
CHEMBL1082750,4.69,COc1cccc2n1cc(-c1cccc(OC(=O)N(C)C)c1)[n+]2C.[Cl-],False
CHEMBL1082977,4.74,CC1CCN(c2nccc(NCc3ccccc3)n2)CC1,False
CHEMBL1082978,5.01,c1ccc(CCNc2ccnc(N3CCCC3)n2)cc1,False
