ChEMBL_ID,pIC50,SMILES,natural_product
CHEMBL1086227,7.37,COc1ccc(-c2cc(-c3ccc(-c4c(Cc5ccccc5)oc5ccccc45)cc3)ccc2O[C@@H](Cc2ccccc2)C(=O)O)cc1,False
CHEMBL1086228,6.64,O=C(O)[C@@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1[N+](=O)[O-],False
CHEMBL1086229,7.13,Cc1cc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc(C)c1O[C@H](Cc1ccccc1)C(=O)O,False
CHEMBL1086230,7.26,O=C(O)[C@H](Cc1ccccc1)Oc1ccc(-c2ccc(-c3c(Cc4ccccc4)oc4ccccc34)cc2)cc1C1CCCC1,False
CHEMBL1086279,5.66,CCCCc1sc2ccccc2c1-c1ccc(-c2ccc(OCC(=O)O)cc2)cc1,False
CHEMBL1086499,6.77,CCCCc1sc2ccccc2c1-c1ccc(-c2ccc(O[C@H](Cc3ccccc3)C(=O)O)cc2)cc1,False
CHEMBL108689,4.08,CCc1sc(NS(=O)(=O)/C=C/c2ccc([N+](=O)[O-])cc2)nc1-c1ccccc1,False
CHEMBL108690,4.05,O=S(=O)(/C=C/c1ccc(-c2ccccc2)cc1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,False
CHEMBL108721,6.41,O=C(O)COc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,False
CHEMBL109118,4.24,CCCc1sc(NS(=O)(=O)/C=C/c2ccc(C)cc2)nc1-c1ccc(-c2ccccc2)cc1,False
CHEMBL109290,6.42,Oc1c(Br)cc(-c2c3ccccc3c(Br)c3sc4ccccc4c23)cc1Br,False
CHEMBL109381,4.82,O=P([O-])([O-])OC(F)(F)c1cccc(-c2ccccc2)c1.[Na+].[Na+],False
CHEMBL1095726,6.39,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccsc2C(=O)O)[nH]n1,False
CHEMBL1097390,5.14,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccsc2C(=O)OC)[nH]n1,False
CHEMBL1097720,6.46,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccccc2C(=O)O)[nH]n1,False
CHEMBL1098845,5.13,CCCCCCCCCCCCCCCCCC(=O)c1cc(C(=O)Nc2ccccc2C(=O)OC)[nH]n1,False
CHEMBL1099219,5.81,CCCCCCCCCCCCCCCCCC(=O)c1n[nH]c2c1C(=O)N(c1ccccc1)C2=O,False
CHEMBL110432,4.31,CCCCCCCCC/C=C/S(=O)(=O)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,False
CHEMBL110566,4.42,O=S(=O)(/C=C/c1ccccc1Cl)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,False
CHEMBL110642,6.4,C=C1OC(=O)C(C(=O)CCCCCCCCCCCCCCC)=C1O,False
CHEMBL110762,4.23,COC(=O)c1ccc(/C=C/S(=O)(=O)Nc2nc(-c3ccccc3)c(-c3ccccc3)s2)cc1,False
CHEMBL110838,4.44,O=S(=O)(/C=C/c1ccc(C(F)(F)F)cc1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,False
CHEMBL110922,4.7,CCCc1sc(NS(=O)(=O)/C=C/c2ccc(C)cc2)nc1-c1ccc(C(F)(F)F)cc1,False
CHEMBL114043,4.11,O=C(O)c1cc(Cc2cc(Br)c(O)c(C(=O)O)c2)cc(Br)c1O,False
CHEMBL115452,4.55,CC(C)=CCc1cc(C(=O)/C=C/c2ccc(O)c(O)c2)c(O)cc1O,False
CHEMBL1160372,4.67,O=C(O)c1ccc(/C=C2/SC(=S)N(Cc3ccccc3)C2=O)cc1,False
CHEMBL1160380,5.36,O=C(O)c1ccc(N2C(=O)/C(=C\C=C\c3ccccc3)SC2=S)cc1,False
CHEMBL1160381,4.71,CC1=NN(c2cccc(Cl)c2)C(=O)/C1=C\c1ccc(-c2ccc(C(=O)O)c(Cl)c2)o1,False
CHEMBL1160384,5.05,O=C(O)c1ccc(-c2ccc(/C=C3/S/C(=N\c4ccccc4)N(c4ccccc4)C3=O)o2)cc1O,False
CHEMBL1160953,4.82,O=P(O)(O)C(F)(F)c1cccc(-c2ccccc2)c1,False
CHEMBL1161221,4.58,O=P(O)(O)C(F)(F)c1ccc2ccc(C(F)(F)P(=O)(O)O)cc2c1,False
CHEMBL1161222,5.36,O=P(O)(O)C(F)(F)c1ccc(CCCCc2ccc(C(F)(F)P(=O)(O)O)cc2)cc1,False
CHEMBL1162223,8.22,NS(=O)(=O)c1cc(-c2ccc(CSCc3ccc(C(F)(F)P(=O)(O)O)c(Br)c3)cc2)ccc1Br,False
CHEMBL1162224,4.89,NS(=O)(=O)c1cc(-c2ccc(CSCc3ccc(C(F)(F)S(=O)(=O)O)c(Br)c3)cc2)ccc1Br,False
CHEMBL1162225,4.72,NS(=O)(=O)c1cc(-c2ccc(CSCc3ccc(CS(=O)(=O)O)c(Br)c3)cc2)ccc1Br,False
CHEMBL1162226,7.52,NS(=O)(=O)C(F)(F)c1cc(-c2ccc(CSCc3ccc(C(F)(F)P(=O)(O)O)c(Br)c3)cc2)ccc1Br,False
CHEMBL1162227,5.22,NS(=O)(=O)C(F)(F)c1cc(-c2ccc(CSCc3ccc(C(F)(F)S(=O)(=O)O)c(Br)c3)cc2)ccc1Br,False
CHEMBL1162229,5.0,CC(C)C[C@H](NC(=O)[C@@H](Cc1cccc(C(F)(F)S(=O)(=O)O)c1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](C)NC(=O)[C@@H](N)CC(=O)O)C(N)=O,False
CHEMBL1163220,5.18,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)C(NCc4ccc([N+](=O)[O-])cc4)CC[C@]23C)C(=O)O1,False
CHEMBL1163226,5.34,CCC(=O)[C@H]1CC[C@]2(C)[C@H]3CC[C@H]4[C@@H](CC[C@@H]4[C@@]4(O)C[C@@H](C=C(C)C)OC4=O)[C@]3(C)CC[C@H]2C1(C)C,False
CHEMBL1163227,5.63,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](OC(=O)c4ccccn4)CC[C@]23C)C(=O)O1,False
CHEMBL1163233,5.72,COc1ccccc1C(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@H]4[C@@H](CC[C@@H]4[C@@]4(O)C[C@@H](C=C(C)C)OC4=O)[C@]3(C)CC[C@H]2C1(C)C,False
CHEMBL1163235,5.77,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](OC(=O)c4cccc([N+](=O)[O-])c4)CC[C@]23C)C(=O)O1,False
CHEMBL1163236,6.48,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](OC(=O)c4cccc(C(=O)O)c4)CC[C@]23C)C(=O)O1,False
CHEMBL1163239,6.57,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](OC(=O)c4ccc(C(=O)O)cc4)CC[C@]23C)C(=O)O1,False
CHEMBL1163240,6.3,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](OC(=O)c4ccc(C(=O)O)c([N+](=O)[O-])c4)CC[C@]23C)C(=O)O1,False
CHEMBL1163241,4.94,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)C(NCc4cc(F)cc(F)c4)CC[C@]23C)C(=O)O1,False
CHEMBL1163709,5.11,CC1(C)CC(=O)C2=C(C1)NC(c1ccccc1)=CC2c1ccco1,False
CHEMBL1163827,5.54,CC1(C)CC(=O)C2=C(C1)NC(c1ccccc1)=CC2c1ccc(F)cc1,False
CHEMBL1163992,5.15,CC(C)=C[C@H]1C[C@@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C(=O)O1,False
CHEMBL1164021,5.38,CCCCC(=O)[C@H]1CC[C@]2(C)[C@H]3CC[C@H]4[C@@H](CC[C@@H]4[C@@]4(O)C[C@@H](C=C(C)C)OC4=O)[C@]3(C)CC[C@H]2C1(C)C,False
CHEMBL1164073,5.2,CC1(C)CC(=O)C2=C(C1)NC(c1ccccc1)=CC2c1ccc(Cl)cc1,False
CHEMBL1164164,4.78,CCOC(=O)C1=CC(c2ccc(Br)cc2)C2=C(CC(C)(C)CC2=O)N1,False
CHEMBL1164174,4.9,CC(=O)[C@H]1CC[C@]2(C)[C@H]3CC[C@H]4[C@@H](CC[C@@H]4[C@@]4(O)C[C@@H](C=C(C)C)OC4=O)[C@]3(C)CC[C@H]2C1(C)C,False
CHEMBL1164260,4.875,CC(C)=C[C@@H]1C[C@](O)([C@H]2CC[C@@H]3[C@@H]2CC[C@H]2[C@@]3(C)CC[C@H]3C(C)(C)[C@@H](O)CC[C@]23C)C(=O)O1,False
