ChEMBL_ID,pIC50,SMILES,natural_product
CHEMBL1222280,5.16,CN(C)c1ccc(/C=C2\SC(=O)N(CCN)C2=O)cc1,False
CHEMBL1222281,5.46,N#CCCN1C(=O)S/C(=C\c2ccccc2)C1=O,False
CHEMBL122239,4.82,Cc1cc2ccc(OC/C=C/C3=CC(=O)C(C)(C)O3)cc2oc1=O,False
CHEMBL122279,4.82,O=C(O)C1=Cc2ccccc2CC1=O,False
CHEMBL1224875,4.71,Oc1ccc(/C=C/c2cc(O)cc3c2[C@@H](c2cc(O)cc(O)c2)[C@H](c2ccc(O)cc2)O3)cc1,False
CHEMBL122697,6.3,CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O,False
CHEMBL122750,6.3,O=C(O)C1=Cc2cc(Cl)ccc2CC1=O,False
CHEMBL123071,7.17,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O,False
CHEMBL123155,7.22,O=C(Cl)C1=Cc2ccccc2CC1=O,False
CHEMBL1235738,4.75,C#CCN[C@H]1CCc2ccccc21,False
CHEMBL123609,6.0,O=C(O)C1=Cc2cc(Br)ccc2CC1=O,False
CHEMBL123768,6.72,CCOC(=O)C1=Cc2cc(C)ccc2CC1=O,False
CHEMBL1240558,4.42,CC1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1,False
CHEMBL1241257,6.41,O=c1c(/C=C/c2ccc(Cl)cc2)coc2ccccc12,False
CHEMBL1241294,4.42,CC1CCC/C(=N/Nc2nc(-c3ccccc3)cs2)C1,False
CHEMBL1241295,4.41,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccccc3)cs2)C1,False
CHEMBL1242936,4.45,CC1CCCC/C1=N\Nc1nc(-c2ccc(Cl)cc2)cs1,False
CHEMBL1242937,4.36,CC1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,False
CHEMBL1242938,5.45,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,False
CHEMBL1242964,5.306666666666666,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2)cs1,False
CHEMBL1242965,4.35,CC1CCCC/C1=N\Nc1nc(-c2ccc(Cl)cc2Cl)cs1,False
CHEMBL1242991,5.17,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1,False
CHEMBL1242992,5.32,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(F)cc2F)cs1,False
CHEMBL1243026,4.36,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,False
CHEMBL1243057,4.36,CC1CCC/C(=N/Nc2nc(-c3ccc(Cl)cc3Cl)cs2)C1,False
CHEMBL1243058,4.39,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(Cl)cc3Cl)cs2)C1,False
CHEMBL1243059,4.37,CC1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1,False
CHEMBL1243088,4.41,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1,False
CHEMBL1243089,5.0,C[C@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3F)cs2)C1,False
CHEMBL1243125,5.37,COc1ccc(-c2csc(N/N=C3/CCC[C@@H](C)C3)n2)cc1,False
CHEMBL1243180,4.69,CC1CCC/C(=N/Nc2nc(-c3ccc(C#N)cc3)cs2)C1,False
CHEMBL1243181,4.66,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(C#N)cc3)cs2)C1,False
CHEMBL1243182,4.77,C[C@H]1CCC/C(=N/Nc2nc(-c3ccc(C#N)cc3)cs2)C1,False
CHEMBL1243212,4.64,CC1CCC/C(=N/Nc2nc(-c3ccc(Cl)cc3)cs2)C1,False
CHEMBL1243213,4.64,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(Cl)cc3)cs2)C1,False
CHEMBL1243214,4.43,CC1CCC/C(=N/Nc2nc(-c3ccc(F)cc3)cs2)C1,False
CHEMBL1243245,4.39,C[C@@H]1CCC/C(=N/Nc2nc(-c3ccc(F)cc3)cs2)C1,False
CHEMBL1243371,4.37,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc([N+](=O)[O-])cc2)cs1,False
CHEMBL1243399,4.51,CC1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1,False
CHEMBL1243400,5.26,C[C@@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1,False
CHEMBL1243401,5.14,C[C@H]1CCCC/C1=N\Nc1nc(-c2ccc(C#N)cc2)cs1,False
CHEMBL124440,5.72,O=C1c2ccccc2Cc2ccccc21,True
CHEMBL1253604,4.51,Cc1cc2cc(NC(=O)c3cccc(Cl)c3)ccc2[nH]1,False
CHEMBL1253605,4.16,Cc1cc2cc(NC(=O)C3CCCCC3)ccc2[nH]1,False
CHEMBL1253606,4.94,O=C1Cc2cc(OC(=O)c3ccccc3)ccc2O1,False
CHEMBL1253613,5.35,Fc1ccc(-c2csc(NN=C3CCCC3)n2)cc1,False
CHEMBL1253614,4.26,Clc1ccc(-c2csc(NN=C3CCCC3)n2)c(Cl)c1,False
CHEMBL1253618,5.12,O=C1Cc2cc(OC(=O)c3cccc(Cl)c3)ccc2O1,False
CHEMBL1253680,5.635,Fc1ccc(-c2csc(NN=C3CCCC3)n2)c(F)c1,False
CHEMBL1253693,5.54,Clc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,False
CHEMBL1253699,5.76,Fc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,False
CHEMBL1253700,4.62,Cc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,False
CHEMBL1253762,4.68,CC1CCC(=NNc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)CC1,False
CHEMBL1253763,5.155,CC1CCC(=NNc2nc(-c3ccc(C#N)cc3)cs2)CC1,False
CHEMBL1253764,5.21,Clc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,False
CHEMBL1253845,4.99,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,False
CHEMBL1253846,4.23,Clc1ccc(-c2csc(NN=C3CCCCCC3)n2)c(Cl)c1,False
CHEMBL1253847,5.14,Fc1ccc(-c2csc(NN=C3CCCCCC3)n2)c(F)c1,False
CHEMBL1253924,5.02,Cc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,False
CHEMBL1253925,5.41,COc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,False
CHEMBL1253926,4.75,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,False
CHEMBL1254017,5.36,N#Cc1ccc(-c2csc(NN=C3CCCCCC3)n2)cc1,False
CHEMBL1254550,5.12,Cc1cc2cc(NC(=O)/C=C/c3cccc(Cl)c3)ccc2[nH]1,False
CHEMBL1254552,5.01,Cc1cc2cc(NC(=O)c3ccc(Cl)c(Cl)c3)ccc2[nH]1,False
CHEMBL1254623,4.68,Cc1cc2cc(NC(=O)c3ccc[n+](C)c3)ccc2[nH]1.[Cl-],False
CHEMBL1254624,4.9,O=C(/C=C/c1ccccc1)Oc1ccc2c(c1)CC(=O)O2,False
CHEMBL1254625,5.41,O=C(/C=C/c1cccc(Cl)c1)Oc1ccc2c(c1)CC(=O)O2,False
CHEMBL1254764,4.34,Fc1ccc(-c2csc(NN=C3CCCCC3)n2)c(F)c1,False
CHEMBL1254850,4.62,O=[N+]([O-])c1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,False
CHEMBL1254851,5.32,N#Cc1ccc(-c2csc(NN=C3CCCCC3)n2)cc1,False
CHEMBL1254934,4.34,CC1CCC(=NNc2nc(-c3ccc(F)cc3)cs2)CC1,False
CHEMBL1254935,4.09,CC1CCC(=NNc2nc(-c3ccc(Cl)cc3Cl)cs2)CC1,False
CHEMBL1255019,4.71,CC1CCC(=NNc2nc(-c3ccc(F)cc3F)cs2)CC1,False
CHEMBL1255020,5.09,Cc1ccc(-c2csc(NN=C3CCC(C)CC3)n2)cc1,False
CHEMBL1255021,5.24,COc1ccc(-c2csc(NN=C3CCC(C)CC3)n2)cc1,False
CHEMBL125520,7.42,COc1ccc2c(c1)C(=O)c1cc(-c3cccc(C(F)(F)F)c3)nnc1-2,False
CHEMBL125541,7.7,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O,False
